P homeless,P exit,P undetected,Simulation,# Consecutive,# Episodic,# Chronic,# Ever Homeless,# Undetected Chronic,Frac Undetected Chronic,Wall Time (s),Episodic as % Chronic
0.0025,0.01,0.0075,0,3407,1028,4435,18670,170,0.16536964980544747,2.021441837000001,0.23179255918827507
0.0025,0.0125,0.0025,0,2587,1240,3827,18726,335,0.2701612903225806,1.9218616529999997,0.32401358766657956
0.0025,0.01,0.01,0,3188,989,4177,18693,130,0.13144590495449948,2.1607064950000003,0.23677280344745033
0.005,0.0025,0.0025,0,12933,325,13258,19913,100,0.3076923076923077,1.7690472240000004,0.024513501282244683
0.0025,0.0125,0.005,0,2611,1274,3885,18746,244,0.19152276295133439,2.0802362510000005,0.3279279279279279
0.0025,0.01,0.0125,0,3148,942,4090,18698,142,0.15074309978768577,2.284997517999999,0.23031784841075795
0.0025,0.0125,0.0075,0,2640,1314,3954,18739,200,0.15220700152207,2.170908466000001,0.3323216995447648
0.005,0.0025,0.005,0,13601,178,13779,19926,30,0.16853932584269662,2.088968725999999,0.01291820886856811
0.0025,0.0125,0.01,0,2422,1202,3624,18703,177,0.14725457570715475,2.256007832,0.33167770419426046
0.0025,0.0125,0.0125,0,2260,1197,3457,18679,169,0.14118629908103592,2.4153241659999996,0.3462539774370842
0.005,0.0025,0.0075,0,13941,138,14079,19908,14,0.10144927536231885,2.379326655,0.009801832516513957
0.005,0.005,0.0025,0,8867,1989,10856,19916,606,0.3046757164404223,2.324714878,0.18321665438467208
0.005,0.005,0.005,0,9696,1618,11314,19915,291,0.17985166872682323,2.547347127000001,0.14300866183489483
0.005,0.0025,0.01,0,13981,98,14079,19909,14,0.14285714285714285,2.8204960740000002,0.006960721642162085
0.005,0.0025,0.0125,0,14089,90,14179,19917,8,0.08888888888888889,3.132908990999999,0.006347415191480358
0.005,0.005,0.0075,0,9894,1288,11182,19919,168,0.13043478260869565,2.869186739,0.11518511894115543
